bib,name,age,gender,city,state,country,ctz,5k,10k,20k,half,25k,30k,35k,40k,pace,official,overall,genderdiv,division
W1,"Yamamoto, Hiroyuki",47,M,Fukuoka,,JPN,,8.02,17.37,37.65,39.72,47.67,59.18,71.4,80.43,3.27,85.25,8,8,8
F1,"Jeptoo, Rita",33,F,Eldoret,,KEN,,16.22,32.58,65.83,69.47,82.43,99.33,116.37,132.1,5.3,138.95,21,1,1
W2,"Van Dyk, Ernst F.",41,M,Paarl,,RSA,,7.75,16.62,36.1,38.03,45.8,56.45,67.42,76.1,3.08,80.6,1,1,1
F2,"Dibaba, Mare",24,F,Shoa,,ETH,,16.2,32.57,65.83,69.47,82.43,99.33,116.37,132.95,5.37,140.58,27,3,3
W3,"Hokinoue, Kota",40,M,Nogata Fukuoka,,JPN,,8.02,17.12,36.58,38.6,46.37,57.03,67.83,76.72,3.1,81.23,2,2,2
F3,"Sumgong, Jemima Jelagat",29,F,Nandi,,KEN,,16.22,32.58,65.83,69.47,82.45,99.33,116.37,132.95,5.37,140.68,28,4,4
W4,"Hug, Marcel E.",28,M,Neuenkirch,,SUI,,8.38,17.65,37.65,39.72,47.67,58.6,70.23,79.83,3.23,84.65,4,4,4
5,"Geneti, Markos",29,M,Addis Ababa,,ETH,,15.17,30.48,61.62,64.85,76.95,92.52,107.47,122.8,4.97,129.83,5,5,5
W6,"Soejima, Masazumi",43,M,Isahaya,,JPN,,8,17.12,36.6,38.6,46.37,57.03,67.83,76.7,3.1,81.23,3,3,3
6,"Hall, Ryan",31,M,Redding,CA,USA,,15.15,30.48,61.78,65.23,77.68,94.78,112.27,129.83,5.27,137.83,20,20,20
F6,"Cherop, Sharon",30,F,Marakwet,,KEN,,16.22,32.58,65.85,69.47,82.45,99.35,116.92,134.65,5.47,143,40,8,8
7,"Chebet, Wilson",28,M,Marakwet,,KEN,,15.18,30.52,61.63,64.87,76.97,92.52,107.47,121.95,4.92,128.8,2,2,2
W7,"Lemeunier, Denis Sr.",49,M,Taule,,FRA,,8.4,18.13,39.03,41.18,49.17,60.85,72.6,82.17,3.32,86.95,11,11,11
F7,"Kilel, Caroline",33,F,Bomet,,KEN,,16.22,32.58,67.15,71.1,85.55,104.62,124.22,143.5,5.8,152.07,121,17,17
W8,"Cassidy, Josh R.",29,M,Port Elgin,ON,CAN,,8.02,17.12,38.02,40.2,48.88,60.82,72.83,82.38,3.35,87.4,13,13,13
