Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
0.0,145.25,0,0
0.0,145.25,0,0.0
340.81,146.18,0,0.0
340.81,146.18,0.93,0.0
649.18,146.18,0.93,0.0
649.18,146.18,0.93,0.0
1016.17,129.55,0.93,0.0
1016.17,129.55,0.93,-16.63
1504.01,105.48,0.93,-16.63
1504.01,105.48,0.93,-40.7
1951.71,117.25,0.93,-40.7
1951.71,117.25,12.7,-40.7
2789.9,95.18,12.7,-40.7
2789.9,95.18,12.7,-62.77
3501.2,99.11,12.7,-62.77
3501.2,99.11,16.63,-62.77
4581.44,94.87,16.63,-62.77
4581.44,94.87,16.63,-67.01
5616.69,71.99,16.63,-67.01
5616.69,71.99,16.63,-89.89
6570.76,57.9,16.63,-89.89
6570.76,57.9,16.63,-103.98
7320.14,71.3,16.63,-103.98
7320.14,71.3,30.03,-103.98
8388.78,72.94,30.03,-103.98
8388.78,72.94,31.67,-103.98
9290.2,63.29,31.67,-103.98
9290.2,63.29,31.67,-113.63
10002.13,58.82,31.67,-113.63
10002.13,58.82,31.67,-118.1
10939.17,50.28,31.67,-118.1
10939.17,50.28,31.67,-126.64
12783.09,52.31,31.67,-126.64
12783.09,52.31,33.7,-126.64
14185.23,51.89,33.7,-126.64
14185.23,51.89,33.7,-127.06
14851.32,46.37,33.7,-127.06
14851.32,46.37,33.7,-132.58
15365.91,43.44,33.7,-132.58
15365.91,43.44,33.7,-135.51
16096.86,53.29,33.7,-135.51
16096.86,53.29,43.55,-135.51
17326.89,60.58,43.55,-135.51
17326.89,60.58,50.84,-135.51
18744.44,84.79,50.84,-135.51
18744.44,84.79,75.05,-135.51
19915.79,46.95,75.05,-135.51
19915.79,46.95,75.05,-173.35
21066.69,51.64,75.05,-173.35
21066.69,51.64,79.74,-173.35
22035.51,43.61,79.74,-173.35
22035.51,43.61,79.74,-181.38
23074.86,42.19,79.74,-181.38
23074.86,42.19,79.74,-182.8
24416.92,61.22,79.74,-182.8
24416.92,61.22,98.77,-182.8
25327.06,53.28,98.77,-182.8
25327.06,53.28,98.77,-190.74
25852.7,30.87,98.77,-190.74
25852.7,30.87,98.77,-213.15
26429.9,27.35,98.77,-213.15
26429.9,27.35,98.77,-216.67
27290.83,47.79,98.77,-216.67
27290.83,47.79,119.21,-216.67
27890.24,43.48,119.21,-216.67
27890.24,43.48,119.21,-220.98
28430.02,35.1,119.21,-220.98
28430.02,35.1,119.21,-229.36
28927.51,43.32,119.21,-229.36
28927.51,43.32,127.43,-229.36
29267.23,54.89,127.43,-229.36
29267.23,54.89,139.0,-229.36
29779.44,50.54,139.0,-229.36
29779.44,50.54,139.0,-233.71
30221.73,40.2,139.0,-233.71
30221.73,40.2,139.0,-244.05
30472.36,43.78,139.0,-244.05
30472.36,43.78,142.58,-244.05
30969.88,35.09,142.58,-244.05
30969.88,35.09,142.58,-252.74
31946.56,52.24,142.58,-252.74
31946.56,52.24,159.73,-252.74
32330.92,50.05,159.73,-252.74
32330.92,50.05,159.73,-254.93
33268.65,69.28,159.73,-254.93
33268.65,69.28,178.96,-254.93
33792.91,76.49,178.96,-254.93
33792.91,76.49,186.17,-254.93
34218.41,71.9,186.17,-254.93
34218.41,71.9,186.17,-259.52
34571.11,50.78,186.17,-259.52
34571.11,50.78,186.17,-280.64
35057.75,51.68,186.17,-280.64
35057.75,51.68,187.07,-280.64
35581.34,49.89,187.07,-280.64
35581.34,49.89,187.07,-282.43
35843.96,46.1,187.07,-282.43
35843.96,46.1,187.07,-286.22
36025.43,37.66,187.07,-286.22
36025.43,37.66,187.07,-294.66
36199.23,39.53,187.07,-294.66
36199.23,39.53,188.94,-294.66
37157.97,40.31,188.94,-294.66
37157.97,40.31,189.72,-294.66
37682.83,35.62,189.72,-294.66
37682.83,35.62,189.72,-299.35
38560.19,26.74,189.72,-299.35
38560.19,26.74,189.72,-308.23
39416.81,16.17,189.72,-308.23
39416.81,16.17,189.72,-318.8
40371.77,5.57,189.72,-318.8
40371.77,5.57,189.72,-329.4
40795.52,12.03,189.72,-329.4
40795.52,12.03,196.18,-329.4
41308.57,15.83,196.18,-329.4
41308.57,15.83,199.98,-329.4
41553.09,18.42,199.98,-329.4
41553.09,18.42,202.57,-329.4
41724.91,11.08,202.57,-329.4
41724.91,11.08,202.57,-336.74
41888.8,14.79,202.57,-336.74
41888.8,14.79,206.28,-336.74
42097.65,18.2,206.28,-336.74
42097.65,18.2,209.69,-336.74
42179.27,17.09,209.69,-336.74
42179.27,17.09,209.69,-337.85
42194.25,17.47,209.69,-337.85
42194.25,17.47,210.07,-337.85
